date,open,high,low,close
"Jul 15, 2017",2230.12,2231.14,1990.41,1998.86
"Jul 16, 2017",1991.98,2058.77,1843.03,1929.82
"Jul 17, 2017",1932.62,2230.49,1932.62,2228.41
"Jul 18, 2017",2233.52,2387.61,2164.77,2318.88
"Jul 19, 2017",2323.08,2397.17,2260.23,2273.43
"Jul 20, 2017",2269.89,2900.7,2269.89,2817.6
"Jul 21, 2017",2838.41,2838.41,2621.85,2667.76
"Jul 22, 2017",2668.63,2862.42,2657.71,2810.12
"Jul 23, 2017",2808.1,2832.18,2653.94,2730.4
"Jul 24, 2017",2732.7,2777.26,2699.19,2754.86
"Jul 25, 2017",2757.5,2768.08,2480.96,2576.48
"Jul 26, 2017",2577.77,2610.76,2450.8,2529.45
"Jul 27, 2017",2538.71,2693.32,2529.34,2671.78
"Jul 28, 2017",2679.73,2897.45,2679.73,2809.01
"Jul 29, 2017",2807.02,2808.76,2692.8,2726.45
"Jul 30, 2017",2724.39,2758.53,2644.85,2757.18
"Jul 31, 2017",2763.24,2889.62,2720.61,2875.34
"Aug 01, 2017",2871.3,2921.35,2685.61,2718.26
"Aug 02, 2017",2727.13,2762.53,2668.59,2710.67
"Aug 03, 2017",2709.56,2813.31,2685.14,2804.73
"Aug 04, 2017",2806.93,2899.33,2743.72,2895.89
"Aug 05, 2017",2897.63,3290.01,2874.83,3252.91
"Aug 06, 2017",3257.61,3293.29,3155.6,3213.94
"Aug 07, 2017",3212.78,3397.68,3180.89,3378.94
"Aug 08, 2017",3370.22,3484.85,3345.83,3419.94
"Aug 09, 2017",3420.4,3422.76,3247.67,3342.47
"Aug 10, 2017",3341.84,3453.45,3319.47,3381.28
"Aug 11, 2017",3373.82,3679.72,3372.12,3650.62
"Aug 12, 2017",3650.63,3949.92,3613.7,3884.71
"Aug 13, 2017",3880.04,4208.39,3857.8,4073.26
"Aug 14, 2017",4066.1,4325.13,3989.16,4325.13
"Aug 15, 2017",4326.99,4455.97,3906.18,4181.93
"Aug 16, 2017",4200.34,4381.23,3994.42,4376.63
"Aug 17, 2017",4384.44,4484.7,4243.71,4331.69
"Aug 18, 2017",4324.34,4370.13,4015.4,4160.62
"Aug 19, 2017",4137.75,4243.26,3970.55,4193.7
"Aug 20, 2017",4189.31,4196.29,4069.88,4087.66
"Aug 21, 2017",4090.48,4109.14,3988.6,4001.74
"Aug 22, 2017",3998.35,4128.76,3674.58,4100.52
"Aug 23, 2017",4089.01,4255.78,4078.41,4151.52
"Aug 24, 2017",4137.6,4376.39,4130.26,4334.68
"Aug 25, 2017",4332.82,4455.7,4307.35,4371.6
"Aug 26, 2017",4372.06,4379.28,4269.52,4352.4
"Aug 27, 2017",4345.1,4416.59,4317.29,4382.88
"Aug 28, 2017",4384.45,4403.93,4224.64,4382.66
"Aug 29, 2017",4389.21,4625.68,4352.13,4579.02
"Aug 30, 2017",4570.36,4626.52,4471.41,4565.3
"Aug 31, 2017",4555.59,4736.05,4549.4,4703.39
"Sep 01, 2017",4701.76,4892.01,4678.53,4892.01
"Sep 02, 2017",4901.42,4975.04,4469.24,4578.77
"Sep 03, 2017",4585.27,4714.08,4417.59,4582.96
"Sep 04, 2017",4591.63,4591.63,4108.4,4236.31
"Sep 05, 2017",4228.29,4427.84,3998.11,4376.53
"Sep 06, 2017",4376.59,4617.25,4376.59,4597.12
"Sep 07, 2017",4589.14,4655.04,4491.33,4599.88
"Sep 08, 2017",4605.16,4661.0,4075.18,4228.75
"Sep 09, 2017",4229.81,4308.82,4114.11,4226.06
"Sep 10, 2017",4229.34,4245.44,3951.04,4122.94
"Sep 11, 2017",4122.47,4261.67,4099.4,4161.27
"Sep 12, 2017",4168.88,4344.65,4085.22,4130.81
"Sep 13, 2017",4131.98,4131.98,3789.92,3882.59
"Sep 14, 2017",3875.37,3920.6,3153.86,3154.95
"Sep 15, 2017",3166.3,3733.45,2946.62,3637.52
"Sep 16, 2017",3637.75,3808.84,3487.79,3625.04
"Sep 17, 2017",3606.28,3664.81,3445.64,3582.88
"Sep 18, 2017",3591.09,4079.23,3591.09,4065.2
"Sep 19, 2017",4073.79,4094.07,3868.87,3924.97
"Sep 20, 2017",3916.36,4031.39,3857.73,3905.95
"Sep 21, 2017",3901.47,3916.42,3613.63,3631.04
"Sep 22, 2017",3628.02,3758.27,3553.53,3630.7
"Sep 23, 2017",3629.92,3819.21,3594.58,3792.4
"Sep 24, 2017",3796.15,3796.15,3666.9,3682.84
"Sep 25, 2017",3681.58,3950.25,3681.58,3926.07
"Sep 26, 2017",3928.41,3969.89,3869.9,3892.35
"Sep 27, 2017",3892.94,4210.05,3884.82,4200.67
"Sep 28, 2017",4197.13,4279.31,4109.7,4174.73
"Sep 29, 2017",4171.62,4214.63,4039.29,4163.07
"Sep 30, 2017",4166.11,4358.43,4160.86,4338.71
"Oct 01, 2017",4341.05,4403.74,4269.81,4403.74
"Oct 02, 2017",4395.81,4470.23,4377.46,4409.32
"Oct 03, 2017",4408.46,4432.47,4258.89,4317.48
"Oct 04, 2017",4319.37,4352.31,4210.42,4229.36
"Oct 05, 2017",4229.88,4362.64,4164.05,4328.41
"Oct 06, 2017",4324.46,4413.27,4320.53,4370.81
"Oct 07, 2017",4369.35,4443.88,4321.05,4426.89
"Oct 08, 2017",4429.67,4624.14,4405.64,4610.48
"Oct 09, 2017",4614.52,4878.71,4564.25,4772.02
"Oct 10, 2017",4776.21,4922.17,4765.1,4781.99
"Oct 11, 2017",4789.25,4873.73,4751.63,4826.48
"Oct 12, 2017",4829.58,5446.91,4822.0,5446.91
"Oct 13, 2017",5464.16,5840.3,5436.85,5647.21
"Oct 14, 2017",5643.53,5837.7,5591.64,5831.79
"Oct 15, 2017",5835.96,5852.48,5478.61,5678.19
"Oct 16, 2017",5687.57,5776.23,5544.21,5725.59
"Oct 17, 2017",5741.58,5800.35,5472.72,5605.51
"Oct 18, 2017",5603.82,5603.82,5151.44,5590.69
"Oct 19, 2017",5583.74,5744.35,5531.06,5708.52
"Oct 20, 2017",5708.11,6060.11,5627.23,6011.45
"Oct 21, 2017",5996.79,6194.88,5965.07,6031.6
"Oct 22, 2017",6036.66,6076.26,5792.34,6008.42
"Oct 23, 2017",6006.0,6075.59,5732.47,5930.32
"Oct 24, 2017",5935.52,5935.52,5504.18,5526.64
"Oct 25, 2017",5524.6,5754.33,5397.88,5750.8
"Oct 26, 2017",5747.95,5976.8,5721.22,5904.83
"Oct 27, 2017",5899.74,5988.39,5728.82,5780.9
"Oct 28, 2017",5787.82,5876.72,5689.19,5753.09
"Oct 29, 2017",5754.44,6255.71,5724.58,6153.85
